anatomy_keyword	description	Uberon_term_ID	Uberon_term_name
FMA:16011	The secretory units of the exocrine pancreas, where fluid containing digestive enzymes is produced; consists of a group of secretory cells surrounding a luminal space that connects to the pancreatic duct.	UBERON:0001263	pancreatic acinus
FMA:16012	A dense accumulation of exocrine glands in the pancreas often surrounding islets of Langerhans.	UBERON:0007324	pancreatic lobule
FMA:16013	A intercalated duct that is part of a pancreas.	UBERON:0014726	intercalated duct of pancreas
FMA:16016	the clusters of hormone-producing cells that are scattered throughout the pancreas	UBERON:0000006	islet of Langerhans
FMA:16017	The part of the pancreas that is part of the exocrine system and which produces and store zymogens of digestive enzymes, such as chymotrypsinogen and trypsinogen in the acinar cells [GO].	UBERON:0000017	exocrine pancreas
FMA:16018	The part of the pancreas that is part of the endocrine system and is made up of islet cells, which produce insulin, glucagon and somatostatin.	UBERON:0000016	endocrine pancreas
FMA:16027	A trabecula that is part of a spleen.	UBERON:0001265	trabecula of spleen
FMA:16029	A parenchyma that is part of a spleen.	UBERON:1000024	parenchyma of spleen
FMA:16031	A structure found in the red pulp of the spleen between the sinusoids, consisting of fibrils and connective tissue cells with a large population of monocytes and macrophages. These cords contain half of the human body's monocytes as a reserve so that after tissue injury these monocytes can move in and aid locally sourced monocytes in wound healing. Erythrocytes pass through the cords of Billroth before entering the sinusoids. The passage into the sinusoids may be seen as a bottleneck, where erythrocytes need to be flexible in order to pass through. In disorders of erythrocyte shape and/or flexibility, such as hereditary spherocytosis, erythrocytes fail to pass through and get phagocytosed, causing extravascular hemolysis.	UBERON:0001266	splenic cord
FMA:16038	One of the small straight arteries of the red pulp of the spleen; a branch of the spleen central artery that supplies the red pulp[WP,modified]	UBERON:0013132	penicillar arteriole
FMA:16076	A neural arch that is part of a lumbar vertebra.	UBERON:0008433	lumbar vertebral arch
FMA:16080	A transverse process that is part of a lumbar vertebra	UBERON:0018146	transverse process of lumbar vertebra
FMA:16126	A prezygapophysis that is part of a lumbar vertebra.	UBERON:0008456	prezygapophysis of lumbar vertebra
FMA:16127	An postzygapophysis that is part of a lumbar vertebra.	UBERON:0008461	postzygapophysis of lumbar vertebra
FMA:16201	A collection of all skeletal elements in some subdivision of the vertebral column.	UBERON:0006077	subdivision of vertebral column
FMA:16202	A collection of sacral vertebrae in the sacral region that are fused and part of the bony pelvis.	UBERON:0003690	fused sacrum
FMA:16203	Subdivision of vertebral column that corresponds to the lumbar subdivision of the body, containing the lumbar vertebrae.	UBERON:0006074	lumbar region of vertebral column
FMA:16210	The sacrococcygeal symphysis (sacrococcygeal articulation, articulation of the sacrum and coccyx) is an amphiarthrodial joint, formed between the oval surface at the apex of the sacrum, and the base of the coccyx. It is a slightly moveable joint which is frequently, partially or completely, obliterated in old age, homologous with the joints between the bodies of the vertebrae.	UBERON:0011200	sacrococcygeal symphysis
FMA:16215	A prezygapophysis that is part of a sacral vertebra.	UBERON:0008457	prezygapophysis of sacral vertebra
FMA:16421	A spinal nerve root that is part of a lumbar nerve.	UBERON:0009631	root of lumbar spinal nerve
FMA:16422		UBERON:0009632	root of cervical nerve
FMA:16486	The femoral nerve, the largest branch of the lumbar plexus, arises from the ventral divisions of the second, third, and fourth lumbar nerves. It descends through the fibers of the Psoas major, emerging from the muscle at the lower part of its lateral border, and passes down between it and the Iliacus, behind the iliac fascia; it then runs beneath the inguinal ligament, into the thigh, and splits into an anterior and a posterior division. Under the inguinal ligament, it is separated from the femoral artery by a portion of the Psoas major. [WP,unvetted].	UBERON:0001267	femoral nerve
FMA:16487	The obturator nerve arises from the ventral divisions of the second, third, and fourth lumbar nerves; the branch from the third is the largest, while that from the second is often very small.	UBERON:0005465	obturator nerve
FMA:16515	Transudate contained in the peritoneal cavity.	UBERON:0001268	peritoneal fluid
FMA:16516	A broad fold of peritoneum that extends from the side of the uterus to the wall of the pelvis.	UBERON:0012332	broad ligament of uterus
FMA:16517	peritoneum connecting the greater curvature of stomach with the hilum of the spleen[umich]. part of the greater omentum; derived from the dorsal mesogastrium in the embryo.	UBERON:0004686	gastro-splenic ligament
FMA:16518	the portion of the greater omentum that extends from the greater curvature of the stomach to the inferior surface of the diaphragm	UBERON:0035498	gastrophrenic ligament
FMA:16520	Ligament extending between the liver and stomach	UBERON:0012471	hepatogastric ligament
FMA:16521	The hepatoduodenal ligament is the portion of the lesser omentum extending between the porta hepatis of the liver and the superior part of the duodenum.	UBERON:0012472	hepatoduodenal ligament
FMA:16522	peritoneum that attaches the spleen to the posterior abdominal wall over the left kidney. develops from the dorsal mesogastrium of the embryo[umich]	UBERON:0004687	lieno-renal ligament
FMA:16533	These folds of the rectouterine excavation are named the sacrogenital or rectouterine folds. They contain a considerable amount of fibrous tissue and non-striped muscular fibers which are attached to the front of the sacrum and constitute the uterosacral ligaments.	UBERON:0007136	rectouterine fold
FMA:16552	A major portion of the greater omentum between the stomach and the transverse colon.	UBERON:0035201	gastrocolic ligament
FMA:16558	A vestigial structure that is a remnant of an embryonic structure that remains in the adult organism.	UBERON:0006590	remnant of embryonic structure
FMA:16568	The median umbilical ligament is a structure in human anatomy. It is a shrivelled piece of tissue that represents the remnant of the embryonic urachus. It extends from the apex of the bladder to the umbilicus, on the deep surface of the anterior abdominal wall. It is unpaired. It is covered by the median umbilical fold Lateral to this structure are the medial umbilical ligament (which is a different structure, not to be confused) and the lateral umbilical ligament.	UBERON:0006638	remnant of urachus
FMA:16579	The acetabulum is a concave surface of the pelvis. The head of the femur meets with the pelvis at the acetabulum, forming the hip joint. There are three bones of the os coxae (hip bone) that come together to form the acetabulum. Contributing a little more than two-fifths of the structure is the ischium, which provides lower and side boundaries to the acetabulum. The ilium forms the upper boundary, providing a little less than two-fifths of the structure of the acetabulum. The rest is formed by the pubis, near the midline. It is bounded by a prominent uneven rim, which is thick and strong above, and serves for the attachment of the acetabular labrum, which reduces its opening, and deepens the surface for formation of the hip joint. At the lower part of the acetabulum is the acetabular notch, which is continuous with a circular depression, the acetabular fossa, at the bottom of the cavity of the acetabulum. The rest of the acetabulum is formed by a curved, crescent-moon shaped surface, the lunate surface, where the joint is made with the head of the femur. Its counterpart in the pectoral girdle is the glenoid fossa.[WP,unvetted].	UBERON:0001269	acetabular part of hip bone
FMA:16580	A ring of bone formed by the sacrum and the first few coccygeal vertebrae as the roof, the pubis and ischia as the floor and the ilia and the acetabular part of the ischia as the walls.	UBERON:0001270	bony pelvis
FMA:16581	The organism subdivision that includes the pelvic girdle skeleton and associated soft tissue. Note that this includes both the skeletal elements and associated tissues (integument, muscle, etc). Examples: There are only two instances in an organism, right and left pectoral girdle regions.	UBERON:0001271	pelvic girdle region
FMA:16582	A pelvic girdle region that is in the right side of a multicellular organism.	UBERON:0011092	right pelvic girdle region
FMA:16583	A pelvic girdle region that is in the left side of a multicellular organism.	UBERON:0011093	left pelvic girdle region
FMA:16585	A fused bone consisting of the ilium, ischium and and pubis. Together with the sacrum and coccyx, it comprises the pelvis. [WP,modified].	UBERON:0001272	innominate bone
FMA:16589	Paired endochondral bone that is the dorsal-most of the pelvic bones, offering attachment areas for gluteal muscles on its main surface [PHENOSCAPE:ad].	UBERON:0001273	ilium
FMA:16592	Endochondral bone that is paired, forming the posterior part of the pelvis, articulating with the pubis and ilium.	UBERON:0001274	ischium
FMA:16595	A paired endochondral bone making up the anteroventral region of the tripartite pelvic girdle forming part of the ventral edge of the acetabulum. The origin site of many proximal hindlimb muscles. [PHENOSCAPE:ad].	UBERON:0001275	pubis
FMA:16604	The paraaortic lymph nodes (also known as para-aortic, periaortic, and peri-aortic) are a group of lymph nodes that lie in front of the lumbar vertebral bodies near the aorta. These lymph nodes receive drainage from the lower gastrointestinal tract and the pelvic organs.	UBERON:0016386	paraaortic lymph node
FMA:16611	One of the lymph nodes that form a chain around the ileocolic artery.	UBERON:0016378	ileocolic lymph node
FMA:16612	A lymph node that located_in a colon.	UBERON:0016402	mesocolic lymph node
FMA:16623		UBERON:0016401	pancreaticoduodenal lymph node
FMA:16626	A lymph node that is part of a pancreas [Automatically generated definition].	UBERON:0002527	pancreatic lymph node
FMA:16646		UBERON:0015880	external iliac lymph node
FMA:16654	The internal iliac lymph nodes (or hypogastric) surround the internal iliac artery and its branches (the hypogastric vessels), and receive the lymphatics corresponding to the distribution of the branches of it, i. e. , they receive lymphatics from all the pelvic viscera, from the deeper parts of the perineum, including the membranous and cavernous portions of the urethra, and from the buttock and back of the thigh. It does not receive lymph from the ovary, testis, or superior half of the rectum; the gonads drain to the paraaortic lymph nodes, while the superior half of the rectum drains to the pararectal lymph nodes.	UBERON:0015881	internal iliac lymph node
FMA:16655	A lymph node located in the sacral region.	UBERON:0002528	sacral lymph node
FMA:16656		UBERON:0035171	obturator lymph node
FMA:16657		UBERON:0015883	gluteal lymph node
FMA:16667		UBERON:0015884	presymphysial lymph node
FMA:16694	A lymph node located in the retroperitoneal space.	UBERON:0035371	retroperitoneal lymph node
FMA:16901	A splanchnic nerves that arises from sacral spinal nerves S2, S3, S4 to provide parasympathetic innervation to the hindgut.	UBERON:0018675	pelvic splanchnic nerve
FMA:16902	On the dorsal border of the wing of the ilium , at it's junction with the shaft is a cut away. This forms the Greater sciatic notch. The sciatic nerve runs over the notch in passage to the hindlimb.	UBERON:0014411	greater sciatic notch
FMA:16911	Below the ischial spine is a smaller notch, the lesser sciatic notch; it is smooth, coated in the recent state with cartilage, the surface of which presents two or three ridges corresponding to the subdivisions of the tendon of the Obturator internus, which winds over it. It is converted into a foramen, the lesser sciatic foramen, by the sacrotuberous and sacrospinous ligaments, and transmits the tendon of the Obturator internus, the nerve which supplies that muscle, and the internal pudendal vessels and nerve.	UBERON:0014436	lesser sciatic notch
FMA:16914	Is part of the pelvis on the edge of the wing of the ilium. Round in shape, dorsal to the pubis and ischium. Acts as structrure that muscles can attach too.	UBERON:0014437	iliac crest
FMA:16941	A prominent unever rim that bounds the acetabulum, serving as the attachment for the acetabular labrum, which reduces its opening, and deepens the surface for formation of the hip joint.	UBERON:0006802	acetabular rim
FMA:16944	The acetabulum presents below a deep notch, the acetabular notch, which is continuous with a circular non-articular depression, the acetabular fossa, at the bottom of the cavity: this depression is perforated by numerous apertures, and lodges a mass of fat. The notch is converted into a foramen by the transverse ligament; through the foramen nutrient vessels and nerves enter the joint; the margins of the notch serve for the attachment of the ligament of the head of the femur.	UBERON:0014446	acetabular notch
FMA:16950	The firm fibrocartilaginous joint in the median plane between the two opposing surfaces of the pubic bones, which are united by an interpubic disc of fibrocartilage as well as the superior and arcuate pubic ligaments.	UBERON:0003699	pubic symphysis
FMA:16988	The superior pubic ramus is a part of the pubic bone which forms a portion of the obturator foramen. It extends from the body to the median plane where it articulates with its fellow of the opposite side. It is conveniently described in two portions, viz. , a medial flattened part and a narrow lateral prismoid portion.	UBERON:0014438	superior pubic ramus
FMA:16989	The inferior pubic ramus is thin and flattened. It passes lateralward and downward from the medial end of the superior ramus; it becomes narrower as it descends and joins with the inferior ramus of the ischium below the obturator foramen.	UBERON:0014439	inferior pubic ramus
FMA:16999	The obturator foramen is the hole created by the ischium and pubis bones of the pelvis through which nerves and muscles pass.	UBERON:0006803	obturator foramen
FMA:17007		UBERON:0014441	ischial ramus
FMA:17010	A horizontal thickening onto which the muscles of the femur, such as the quadriceps and hamstring, attach.	UBERON:0034983	ischial tuberosity
FMA:17028	A bony process projecting backward and medialward from the posterior border of the ischium.	UBERON:0009000	ischial spine
FMA:17046	A anatomical junction that connects a stomach and connects a duodenum.	UBERON:0012650	gastroduodenal junction
FMA:17053	A mucosa that is part of a fundus of stomach [Automatically generated definition].	UBERON:0004994	mucosa of fundus of stomach
FMA:17054	A mucosa that is part of a body of stomach [Automatically generated definition].	UBERON:0004995	mucosa of body of stomach
FMA:17055	A mucosa that is part of a pyloric antrum [Automatically generated definition].	UBERON:0004997	mucosa of pyloric antrum
FMA:17058	A submucosa that is part of a fundus of stomach [Automatically generated definition].	UBERON:0004933	submucosa of fundus of stomach
FMA:17059	A submucosa that is part of a body of stomach [Automatically generated definition].	UBERON:0004934	submucosa of body of stomach
FMA:17060	A submucosa that is part of a pyloric antrum [Automatically generated definition].	UBERON:0004936	submucosa of pyloric antrum
FMA:17073	A serous membrane that is part of a fundus of stomach.	UBERON:0012503	serosa of fundus of stomach
FMA:17077	A anatomical space that is enclosed by a fundus of stomach.	UBERON:0016502	stomach fundus lumen
FMA:17091	The epithelial layer of the stomach .	UBERON:0001276	epithelium of stomach
FMA:17229	Epithelial layer that lines the intestine.	UBERON:0001277	intestinal epithelium
FMA:17231	An epithelium that is part of a duodenum.	UBERON:0008346	duodenal epithelium
FMA:17232	An epithelium that is part of a jejunum.	UBERON:0000400	jejunal epithelium
FMA:17233	An epithelium that is part of a ileum.	UBERON:0008345	ileal epithelium
FMA:17269	The acetabular fossa is the roughened depression in the centre of the acetabulum, surrounded by the lunate acetabular surface and the acetabular notch. The acetabular fossa provides an insertion point for the teres ligaments that secure the femoral head.	UBERON:0014445	acetabular fossa
FMA:17277	A simple columnar epithelium that is part of a fundus of stomach.	UBERON:0005477	stomach fundus epithelium
FMA:17278	A muscularis mucosa that is part of a fundus of stomach.	UBERON:0016501	muscularis mucosae of fundus of stomach
FMA:17301	An epithelium that is part of a large intestine [Automatically generated definition].	UBERON:0001278	epithelium of large intestine
FMA:17302	An epithelium that is part of a colon [Automatically generated definition].	UBERON:0000397	colonic epithelium
FMA:17357	An anatomical cavity that surrounded_by a anal canal.	UBERON:0007158	lumen of anal canal
FMA:17456	A mucosa that is part of a cardia of stomach [Automatically generated definition].	UBERON:0004996	mucosa of cardia of stomach
FMA:17457	A submucosa that is part of a cardia of stomach [Automatically generated definition].	UBERON:0004935	submucosa of cardia of stomach
FMA:17461	A mucosa that is part of a pylorus [Automatically generated definition].	UBERON:0004998	mucosa of pylorus
FMA:17462	A submucosa that is part of a pylorus [Automatically generated definition].	UBERON:0004937	submucosa of pylorus
FMA:17500	A lamina propria that is part of a mucosa of fundus of stomach.	UBERON:0016511	lamina propria of fundus of stomach
FMA:17510	An epithelium that is part of a rectum [Automatically generated definition].	UBERON:0003354	epithelium of rectum
FMA:17511	A epithelium that is part of a anal canal.	UBERON:0015716	anal canal epithelium
FMA:17523	A multi-organ-part structure that consists of three vessels of the portal lobule including the bile duct, a terminal branch of the hepatic artery and portal vein, and may also include a lymphatic vessel	UBERON:0001279	portal triad
FMA:17525		UBERON:0016480	interlobular stroma of liver
FMA:17540	The functional units of the liver including the lobules.	UBERON:0001280	liver parenchyma
FMA:17543	Wide thin-walled blood vessels in the liver. In mammals they have neither veinous or arterial markers.	UBERON:0001281	hepatic sinusoid
FMA:17544	Vein that is central to a lobule in the liver.	UBERON:0006841	central vein of liver
FMA:17545	the tubules located between the bile canaliculi and interlobular bile ducts near the outer edge of a classic liver lobule	UBERON:0001282	intralobular bile duct
FMA:17547	An intercellular channel that takes up bile from hepatocytes, transporting it to the bile ducts.	UBERON:0001283	bile canaliculus
FMA:17553	A stroma that is part of a liver.	UBERON:0016478	liver stroma
FMA:17558	the female muscular organ of gestation in which the developing embryo or fetus is nourished until birth	UBERON:0000995	uterus
FMA:17560	An anatomical wall that is part of a uterus [Automatically generated definition].	UBERON:0000459	uterine wall
FMA:17621	A renal sinus that is part of a right kidney.	UBERON:0006194	renal sinus of right kidney
FMA:17622	A renal sinus that is part of a left kidney.	UBERON:0006195	renal sinus of left kidney
FMA:17633	A column of tissue that is histologically identical to tissue found in the renal cortex, but which is located in the medulla between the renal pyramids.	UBERON:0001284	renal column
FMA:17640	The basic functional unit of the kidney. its chief function is to regulate the concentration of water and soluble substances like sodium salts by filtering the blood, reabsorbing what is needed and excreting the rest as urine. A nephron eliminates wastes from the body, regulates blood volume and blood pressure, controls levels of electrolytes and metabolites, and regulates blood pH. Its functions are vital to life and are regulated by the endocrine system by hormones such as antidiuretic hormone, aldosterone, and parathyroid hormone.[WP]	UBERON:0001285	nephron
FMA:17670	The portion of a renal lobe consisting of nephrons grouped around a single medullary ray and draining into a single collecting duct; human kidneys have multilobular, multipapillary architecture while mice and rats have unilobular, unipapillary kidneys	UBERON:0009914	renal lobule
FMA:17676	A narrow chalice-shaped cavity between the glomerular and capsular epithelium of the glomerular capsule of the kidney[TFD]. Between the visceral and parietal layers, into which the filtrate enters after passing through the podocytes' filtration slits[WP]. luminal region between the glomerular capsule visceral and parietal layers, into which filtrate enters after passing through the filtration barrier from the glomerular capillaries[MP]	UBERON:0001286	Bowman's space
FMA:17691	functional unit of the kidney that forms urine, consisting of two parts, the nephron and the collecting tubule.	UBERON:0007684	uriniferous tubule
FMA:17692		UBERON:0007685	region of nephron tubule
FMA:17693	The proximal convoluted tubule is the most proximal portion of the proximal tubule and extends from the glomerular capsule to the proximal straight tubule.	UBERON:0001287	proximal convoluted tubule
FMA:17698	the section of the renal tubule in the kidney medulla with a hairpin bend; consists of a descending limb and an ascending limb, and is situated between the proximal convoluted tubule to the distal convoluted tubule; it functions to reabsorb water and ions from the urine	UBERON:0001288	loop of Henle
FMA:17705	the portion of the renal tubule that constitutes the proximal part of the loop of Henle, has low permeability to ions and urea, and is highly permeable to water; it consists of an initial short thick segment lined by low simple cuboidal epithelium and a long thin segment lined by simple squamous epithelium; however, this distinction is not as important physiologically as in the ascending limb, so often the two are treated as one structure	UBERON:0001289	descending limb of loop of Henle
FMA:17716	The proximal straight tubule is the part of the descending limb that extends from the proximal convoluted tubule to the descending thin tubule.	UBERON:0001290	proximal straight tubule
FMA:17717	The distal part of the loop of Henle that is impermeable to water and actively pumps sodium out of the filtrate to generate the hypertonic interstitium that drives countercurrent exchange; it consists of an initial very thin segment lined by simple squamous epithelium followed by a distal thick segment lined by simple cuboidal epithelium[MP].	UBERON:0005164	ascending limb of loop of Henle
FMA:17718	The intermediate tubule is a nephron tubule that lies between the proximal and distal tubules	UBERON:0004136	intermediate tubule
FMA:17719	The descending thin limb is a part of the loop of Henle situated just after the proximal straight tubule (S3). It extends to the tip of the loop of Henle[GO].	UBERON:0005096	descending thin limb
FMA:17720	A sub-portion of the loop of Henle in the nephron of the kidney that is permeable to ions but not to water	UBERON:0004193	loop of Henle ascending limb thin segment
FMA:17721	The first segment of the nephron lying just downstream from the loop of Henle, immediately after the macula densa.	UBERON:0001292	distal convoluted tubule
FMA:17722	the distal sub-portion of the ascending loop of Henle which is lined by simple cuboidal epithelium and enters the renal cortex to empty a hypotonic filtrate into the distal convoluted tubule	UBERON:0001291	thick ascending limb of loop of Henle
FMA:17733	The renal outer medulla is the region of the kidney that lies between the renal cortex and the renal inner medulla[GO].	UBERON:0001293	outer medulla of kidney
FMA:17734	Innermost region of the mammalian kidney.	UBERON:0001294	inner medulla of kidney
FMA:17739	The part of the uterus above the isthmus and below the orifices of the uterine tubes.	UBERON:0009853	body of uterus
FMA:17740	Lower, narrow portion of the uterus where it joins with the top end of the vagina.	UBERON:0000002	uterine cervix
FMA:17742	the glandular mucous membrane lining of the uterine cavity that is hormonally responsive during the estrous/menstrual cycle and during pregnancy	UBERON:0001295	endometrium
FMA:17743	the smooth muscle coat of the uterus, which forms the main mass of the organ and surrounds and supports the endometrium	UBERON:0001296	myometrium
FMA:17744	Outer serosa layer of the uterus.	UBERON:0001297	serosa of uterus
FMA:17745	A organ cavity that is part of a uterus.	UBERON:0013769	uterine lumen
FMA:17746	The cavity formed by the walls of the cervix.	UBERON:0013761	cervical cavity
FMA:17747	Opening of uterine cervix into the body of the uterus.	UBERON:0013759	internal cervical os
FMA:17806	A mucosa that is part of a right ureter [Automatically generated definition].	UBERON:0005004	mucosa of right ureter
FMA:17807	A mucosa that is part of a left ureter [Automatically generated definition].	UBERON:0005005	mucosa of left ureter
FMA:17846	A mucosa that is part of a neck of urinary bladder [Automatically generated definition].	UBERON:0005010	mucosa of neck of urinary bladder
FMA:17847	A mucosa that is part of a trigone of urinary bladder [Automatically generated definition].	UBERON:0005009	mucosa of trigone of urinary bladder
FMA:17851	A submucosa that is part of a neck of urinary bladder [Automatically generated definition].	UBERON:0004945	submucosa of neck of urinary bladder
FMA:17852	A submucosa that is part of a trigone of urinary bladder [Automatically generated definition].	UBERON:0004944	submucosa of trigone of urinary bladder
FMA:17876	The portions of renal substance (cortex) intervening between the bases of the pyramids and the capsule of the kidney.	UBERON:0009650	cortical arch of kidney
FMA:17881	The portion of a kidney consisting of a renal medullary pyramid and the renal cortex above it[MP]. It is composed of many renal lobules[WP].	UBERON:0009913	renal lobe
FMA:17931	A mucosa that is part of a renal pelvis [Automatically generated definition].	UBERON:0005006	mucosa of renal pelvis
FMA:17934	A mucosa that is part of a major calyx [Automatically generated definition].	UBERON:0005007	mucosa of major calyx
FMA:17937	A mucosa that is part of a minor calyx [Automatically generated definition].	UBERON:0005008	mucosa of minor calyx
FMA:18009	A submucosa that is part of a biliary tree [Automatically generated definition].	UBERON:0004938	submucosa of biliary tree
FMA:18011	A submucosa that is part of a common bile duct [Automatically generated definition].	UBERON:0004939	submucosa of common bile duct
FMA:18013	A submucosa that is part of a cystic duct [Automatically generated definition].	UBERON:0004926	submucosa of cystic duct
FMA:18014	A submucosa that is part of a common hepatic duct [Automatically generated definition].	UBERON:0004940	submucosa of common hepatic duct
FMA:18015	A submucosa that is part of a right hepatic duct [Automatically generated definition].	UBERON:0004941	submucosa of right hepatic duct
FMA:18017	A submucosa that is part of a left hepatic duct [Automatically generated definition].	UBERON:0004942	submucosa of left hepatic duct
FMA:18028	A spinal nerve root that is part of a sacral nerve.	UBERON:0009633	root of sacral nerve
FMA:18060	The psoas major is a long fusiform muscle placed on the side of the lumbar region of the vertebral column and brim of the lesser pelvis. It joins the iliacus muscle to form the iliopsoas. In less than 50 per cent of subjects the psoas major is accompanied by the psoas minor. [WP,unvetted].	UBERON:0001298	psoas major muscle
FMA:18076	A space inside the uterus lined by a layer of mucus membranes called the endometrium.	UBERON:0035465	endometrial cavity
FMA:18088	The dartos fascia is a fat-free layer of smooth muscular fiber outside the external spermatic fascia but below the skin. It is a continuation of Scarpa's Fascia which is a membranous layer of the subcutaneous tissue in the abdominal wall.	UBERON:0013718	dartos muscle
FMA:18104	A fascial pouch derived from extraperitoneal connective tissue that contains the kidneys, the suprarenal glands, the renal vessels and perirenal fat	UBERON:0016851	renal fascia
FMA:18131	A spinal nerve root that is part of a coccygeal nerve.	UBERON:0009634	root of coccygeal nerve
FMA:18147	A mesothelium that is part of a peritoneal cavity.	UBERON:0005669	peritoneal cavity mesothelium
FMA:18148	A mesothelium that is part of a pleural cavity [Automatically generated definition].	UBERON:0003390	mesothelium of pleural cavity
FMA:18149	A mesothelium that is part of a serous pericardium.	UBERON:0007188	mesothelium of serous pericardium
FMA:18151		UBERON:0035021	right vagus X nerve trunk
FMA:18157		UBERON:0035020	left vagus X nerve trunk
FMA:18245	Initial section of the oviduct through which the ova pass from the ovary to the uterus	UBERON:0003889	fallopian tube
FMA:18247	the conic expansion of the corpus spongiosum that forms the head of the penis	UBERON:0001299	glans penis
FMA:18248	the continuation of each corpus cavernosum of the penis, diverging posteriorly to be attached to the pubic arch.	UBERON:0006639	crus of penis
FMA:18250	Reproductive organ that produces and releases eggs (ovary) or sperm (testis).	UBERON:0000991	gonad
FMA:18251	Any of the two testis-carrying compartments of the scrotum.	UBERON:0035105	sac of scrotum
FMA:18252	the external sac of skin that encloses the testes. It is an extension of the abdomen, and in placentals is located between the penis and anus.	UBERON:0001300	scrotum
FMA:18255	the elongated structure connected to the posterior surface of the testis that transports, stores, and matures spermatozoa between testis and vas deferens	UBERON:0001301	epididymis
FMA:18259	The head of the epididymis	UBERON:0004358	caput epididymis
FMA:18260	The body of the epididymis	UBERON:0004359	corpus epididymis
FMA:18261	The tail of the epididymis	UBERON:0004360	cauda epididymis
FMA:18268	On the head of the epididymis is a small stalked appendage (sometimes duplicated). It is named the appendix of the epididymis (or pedunculated hydatid), and is usually regarded as a detached efferent duct. This structure is derived from the Wolffian duct as opposed to the appendix testis which is derived from the mullerian duct remnant.	UBERON:0006641	appendix epididymis
FMA:18274	The lumen of the epididymis	UBERON:0035956	epididymal lumen
FMA:18297	Any duct branching of of the main epididymis duct.	UBERON:0008824	duct of epididymis
FMA:18302	A section through the tube or network of tubes that connects the ovaries to the outside of the body.	UBERON:0013515	subdivision of oviduct
FMA:18305	The ampulla is the second portion of the uterine tube. It is an intermediate dilated portion, which curves over the ovary. It is the most common site of human fertilization. The word ampulla is from the Latin for flask.	UBERON:0012648	ampulla of uterine tube
FMA:18306		UBERON:0016632	isthmus of fallopian tube
FMA:18307	The funnel-like expansion of the abdominal extremity of the uterine tube[MP]	UBERON:0003984	uterine tube infundibulum
FMA:18316	A serous membrane that is part of a fallopian tube.	UBERON:0012499	serosa of uterine tube
FMA:18318	A muscle layer that is part of a fallopian tube.	UBERON:0006642	muscle layer of oviduct
FMA:18319	A mucosa that is part of a fallopian tube [Automatically generated definition].	UBERON:0005048	mucosa of uterine tube
FMA:18324	A serous membrane that is part of a uterine tube infundibulum.	UBERON:0007181	serosa of infundibulum of uterine tube
FMA:18336	A muscle layer that is part of a uterine tube infundibulum.	UBERON:0007182	muscle layer of infundibulum of uterine tube
FMA:18357	A mucosa that is part of a uterine tube infundibulum [Automatically generated definition].	UBERON:0005049	mucosa of infundibulum of uterine tube
FMA:18374	An anatomical cavity that surrounded_by a colon.	UBERON:0007159	lumen of colon
FMA:18452	A mucosa that is part of a right uterine tube [Automatically generated definition].	UBERON:0005011	mucosa of right uterine tube
FMA:18453	A mucosa that is part of a left uterine tube [Automatically generated definition].	UBERON:0005012	mucosa of left uterine tube
FMA:18483	A fallopian tube that is part of a right side of organism [Automatically generated definition].	UBERON:0001302	right uterine tube
FMA:18484	A fallopian tube that is part of a left side of organism [Automatically generated definition].	UBERON:0001303	left uterine tube
FMA:18537	The wall of the fallopian tube includes an elaborately folded mucosa (endosalpinx) surrounded by a muscularis (myosalpinx). The mucosa is lined by a ciliated columnar epithelium with secretory cells, and is folded out into the lumen so that an ovum in the lumen will always be close to the cilia for transport to the uterus.	UBERON:0018343	oviduct mucosal fold
FMA:18613	the layer of the ovarian stroma lying immediately beneath the tunica albuginea, composed of connective tissue cells and fibers, among which are scattered primary and secondary (antral) follicles in various stages of development; the cortex varies in thickness according to the age of the individual, becoming thinner with advancing years; included in the follicles are the cumulus oophorus, membrana granulosa (and the granulosa cells inside it), corona radiata, zona pellucida, and primary oocyte; the zona pellucida, theca of follicle, antrum and liquor folliculi are also contained in the follicle; also in the cortex is the corpus luteum derived from the follicles.	UBERON:0013191	ovarian cortex
FMA:18616	highly vascular stroma found in the center of the ovary that forms from embryonic mesenchyme and contains blood vessels, lymphatic vessels, and nerves; this stroma forms the tissue of the hilum by which the ovarian ligament is attached, and through which the blood vessels enter; it does not contain any ovarian follicles.	UBERON:0013192	ovarian medulla
FMA:18619	A transient endocrine gland that develops from the postovulatory or atretic follicles and secretes progesterone; it is thought to be related to egg retention[PMID].	UBERON:0002512	corpus luteum
FMA:18620	White fibrous tissue that replaces the regressing corpus luteum in the human ovary in the latter half of pregnancy, or soon after ovulation when pregnancy does not supervene.	UBERON:0000450	corpus albicans
FMA:18626	The stroma of the ovary is a peculiar soft tissue, abundantly supplied with blood vessels, consisting for the most part of spindle-shaped cells with a small amount of ordinary connective tissue. These cells have been regarded by some anatomists as unstriped muscle cells, which, indeed, they most resemble; by others as connective-tissue cells. On the surface of the organ this tissue is much condensed, and forms a layer composed of short connective-tissue fibers, with fusiform cells between them. The stroma of the ovary may contain interstitial cells resembling those of the testis.	UBERON:0006960	ovary stroma
FMA:18629	layer of simple cuboidal cells covering surface of ovary[WP].	UBERON:0001304	germinal epithelium of ovary
FMA:18630		UBERON:0006644	tunica albuginea of ovary
FMA:18634	An ovarian follicle that has one layer of granulosa cells.	UBERON:0000035	primary ovarian follicle
